eventID,basisOfRecord,occurrenceID,individualCount,identificationVerificationStatus,scientificName,kingdom,vernacularName
VIS_465,HumanObservation,VIS_465,3,verified by experts,Carassius auratus auratus,Animalia,goudvis
VIS_466,HumanObservation,VIS_466,84,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_468,HumanObservation,VIS_468,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_471,HumanObservation,VIS_471,4,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_473,HumanObservation,VIS_473,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_474,HumanObservation,VIS_474,55,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_477,HumanObservation,VIS_477,10,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_480,HumanObservation,VIS_480,32,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_483,HumanObservation,VIS_483,7,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_491,HumanObservation,VIS_491,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_496,HumanObservation,VIS_496,9,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_498,HumanObservation,VIS_498,11,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_500,HumanObservation,VIS_500,2,verified by experts,Carassius auratus auratus,Animalia,goudvis
VIS_508,HumanObservation,VIS_508,22,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_512,HumanObservation,VIS_512,2,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_515,HumanObservation,VIS_515,219,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_517,HumanObservation,VIS_517,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_520,HumanObservation,VIS_520,36,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_521,HumanObservation,VIS_521,6,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_522,HumanObservation,VIS_522,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_524,HumanObservation,VIS_524,44,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_525,HumanObservation,VIS_525,78,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_527,HumanObservation,VIS_527,17,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_529,HumanObservation,VIS_529,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_530,HumanObservation,VIS_530,2,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_531,HumanObservation,VIS_531,9,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_538,HumanObservation,VIS_538,17,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_540,HumanObservation,VIS_540,60,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_550,HumanObservation,VIS_550,22,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_560,HumanObservation,VIS_560,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_563,HumanObservation,VIS_563,3,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_564,HumanObservation,VIS_564,113,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_565,HumanObservation,VIS_565,20,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_575,HumanObservation,VIS_575,2,verified by experts,Pungitius pungitius,Animalia,tiendoornige stekelbaars
VIS_576,HumanObservation,VIS_576,97,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_578,HumanObservation,VIS_578,1,verified by experts,Pungitius pungitius,Animalia,tiendoornige stekelbaars
VIS_579,HumanObservation,VIS_579,15,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_580,HumanObservation,VIS_580,2,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_581,HumanObservation,VIS_581,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_582,HumanObservation,VIS_582,2,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_583,HumanObservation,VIS_583,13,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_587,HumanObservation,VIS_587,50,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_588,HumanObservation,VIS_588,18,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_590,HumanObservation,VIS_590,39,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_591,HumanObservation,VIS_591,16,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_592,HumanObservation,VIS_592,2,verified by experts,Abramis brama,Animalia,brasem
VIS_593,HumanObservation,VIS_593,2,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_594,HumanObservation,VIS_594,6,verified by experts,Cyprinus carpio,Animalia,karper
VIS_596,HumanObservation,VIS_596,1,verified by experts,Oncorhynchus mykiss,Animalia,regenboogforel
VIS_597,HumanObservation,VIS_597,3,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_598,HumanObservation,VIS_598,2,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_599,HumanObservation,VIS_599,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_600,HumanObservation,VIS_600,27,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_602,HumanObservation,VIS_602,51,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_603,HumanObservation,VIS_603,1,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_604,HumanObservation,VIS_604,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_606,HumanObservation,VIS_606,6,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_608,HumanObservation,VIS_608,34,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_610,HumanObservation,VIS_610,1,verified by experts,Pseudorasbora parva,Animalia,blauwbandgrondel
VIS_611,HumanObservation,VIS_611,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_613,HumanObservation,VIS_613,1,verified by experts,Oncorhynchus mykiss,Animalia,regenboogforel
VIS_614,HumanObservation,VIS_614,1,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_615,HumanObservation,VIS_615,3,verified by experts,Tinca tinca,Animalia,zeelt
VIS_616,HumanObservation,VIS_616,16,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_618,HumanObservation,VIS_618,20,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_621,HumanObservation,VIS_621,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
