eventID,measurementType,measurementValue,measurementUnit
VIS_23162,sampling distance,170.0,meter
VIS_23163,length,11.2,cm
VIS_23163,sampling distance,170.0,meter
VIS_23164,length,10.8,cm
VIS_23164,sampling distance,170.0,meter
VIS_23165,length,11.2,cm
VIS_23165,sampling distance,170.0,meter
VIS_23166,length,10.9,cm
VIS_23166,sampling distance,170.0,meter
VIS_23167,length,8.2,cm
VIS_23167,sampling distance,170.0,meter
VIS_23168,length,11.4,cm
VIS_23168,sampling distance,170.0,meter
VIS_23169,length,14.8,cm
VIS_23169,sampling distance,170.0,meter
VIS_23170,length,11.2,cm
VIS_23170,sampling distance,170.0,meter
VIS_23171,length,10.9,cm
VIS_23171,sampling distance,170.0,meter
VIS_23172,length,13.0,cm
VIS_23172,sampling distance,170.0,meter
VIS_23173,length,10.2,cm
VIS_23173,sampling distance,170.0,meter
VIS_23174,length,11.9,cm
VIS_23174,sampling distance,170.0,meter
VIS_23175,length,11.9,cm
VIS_23175,sampling distance,170.0,meter
VIS_23176,length,12.7,cm
VIS_23176,sampling distance,170.0,meter
VIS_23177,length,10.2,cm
VIS_23177,sampling distance,170.0,meter
VIS_23178,length,9.4,cm
VIS_23178,sampling distance,170.0,meter
VIS_23180,length,12.8,cm
VIS_23180,sampling distance,200.0,meter
VIS_23181,length,11.2,cm
VIS_23181,sampling distance,200.0,meter
VIS_23182,length,12.0,cm
VIS_23182,sampling distance,200.0,meter
VIS_23183,length,11.4,cm
VIS_23183,sampling distance,200.0,meter
VIS_23184,length,11.2,cm
VIS_23184,sampling distance,200.0,meter
VIS_23185,length,11.8,cm
VIS_23185,sampling distance,200.0,meter
VIS_23186,length,11.0,cm
VIS_23186,sampling distance,200.0,meter
VIS_23187,length,11.1,cm
VIS_23187,sampling distance,200.0,meter
VIS_23188,length,11.2,cm
VIS_23188,sampling distance,200.0,meter
VIS_23189,length,13.0,cm
VIS_23189,sampling distance,200.0,meter
VIS_23190,length,12.0,cm
VIS_23190,sampling distance,200.0,meter
VIS_23191,length,13.0,cm
VIS_23191,sampling distance,200.0,meter
VIS_23192,length,11.5,cm
VIS_23192,sampling distance,200.0,meter
VIS_23193,length,13.0,cm
VIS_23193,sampling distance,200.0,meter
VIS_23194,length,9.8,cm
VIS_23194,sampling distance,200.0,meter
VIS_23195,length,12.0,cm
VIS_23195,sampling distance,200.0,meter
VIS_23196,length,10.7,cm
VIS_23196,sampling distance,200.0,meter
VIS_23197,length,12.1,cm
VIS_23197,sampling distance,200.0,meter
VIS_23198,length,13.2,cm
VIS_23198,sampling distance,200.0,meter
VIS_23200,length,10.6,cm
VIS_23200,sampling distance,100.0,meter
VIS_23200,weight,7.60,g
VIS_23201,length,10.5,cm
VIS_23201,sampling distance,100.0,meter
VIS_23201,weight,7.10,g
VIS_23202,length,3.8,cm
VIS_23202,sampling distance,100.0,meter
VIS_23202,weight,0.40,g
VIS_23206,length,11.2,cm
VIS_23206,sampling distance,100.0,meter
